,trip,id,species,new_species,start,stop,notes
1,LL003_FR07_DL63,LL003FR07_1,X,UO,4/5/2013 19:30,4/5/2013 19:35,
2,LL003_FR07_DL63,LL003FR07_2,X,NA_UO,4/6/2013 17:52,4/6/2013 18:03,
3,LL003_FR07_DL63,LL003FR07_3,UO,NA_UO,4/6/2013 19:23,4/6/2013 19:34,
4,LL003_FR07_DL63,LL003FR07_4,UO,NA_UO,4/7/2013 20:22,4/7/2013 20:37,
5,LL003_FR07_DL63,LL003FR07_5,UO,NA_UO,4/7/2013 21:03,4/7/2013 21:22,
6,LL003_FR07_DL63,LL003FR07_6,UO,UO,4/8/2013 16:19,4/8/2013 16:40,
7,LL003_FR07_DL63,LL003FR07_7,UO,UO,4/8/2013 19:16,4/8/2013 19:46,
8,LL003_FR07_DL63,LL003FR07_8,UO,NA_UO,4/11/2013 21:01,4/11/2013 21:23,
9,LL003_FR07_DL63,LL003FR07_9,UO,NA_UO,4/12/2013 17:16,4/12/2013 17:18,
10,LL003_FR07_DL63,LL003FR07_10,UO,NA_UO,4/12/2013 19:28,4/12/2013 19:43,
11,LL003_FR07_DL63,LL003FR07_11,UO,NA_UO,4/12/2013 20:48,4/12/2013 21:19,
12,LL003_FR07_DL63,LL003FR07_12,UO,NA_UO,4/13/2013 18:49,4/13/2013 19:03,
13,LL003_FR07_DL63,LL003FR07_13,X,NA_X,4/14/2013 15:30,4/14/2013 15:52,ROCCA predicted Pc; too few detections overall to decide
14,LL003_FR07_DL63,LL003FR07_14,UO,NA_X,4/14/2013 19:43,4/14/2013 20:30,
15,LL003_FR10_DL60,LL003FR10_1,X,NA_X,4/15/2013 16:47,4/15/2013 16:50,faint whistles
16,LL003_FR10_DL60,LL003FR10_2,UO,NA_UO,4/15/2013 20:10,4/15/2013 20:28,
17,LL003_FR10_DL60,LL003FR10_3,X,NA_UO,4/16/2013 18:23,4/16/2013 18:49,faint whistles
18,LL003_FR10_DL60,LL003FR10_4,UO,UO,4/16/2013 19:25,4/16/2013 19:43,
19,LL003_FR10_DL60,LL003FR10_5,Pc,Pc,4/17/2013 14:45,4/17/2013 15:46,
20,LL003_FR10_DL60,LL003FR10_6,UO,UO,4/17/2013 23:15,4/17/2013 23:32,
21,LL004_FR10_DL60,LL004_FR10_1,Pc,Pc,5/1/2013 13:55,5/1/2013 14:47,
22,LL004_FR10_DL60,LL004_FR10_2,Pm,NA_Pm,5/4/2013 17:38,5/4/2013 17:45,
23,LL004_FR10_DL60,LL004_FR10_3,X,NA,5/14/2013 13:31,5/14/2013 14:02,
24,LL010_FR04_DLxx,LL010_FR04_1,Pc,Pc,3/11/2014 13:42,3/11/2014 14:05,ROCCA predicted Pc 51%
25,LL010_FR04_DLxx,LL010_FR04_2,Pc,Pc,3/11/2014 22:40,3/11/2014 23:16,ROCCA predicted Pc 88%
26,LL010_FR06_DLxx,LL010_FR06_1,Pc,Pc,3/11/2014 14:48,3/11/2014 15:17,Updated from AES original as UO
27,LL010_FR06_DLxx,LL010_FR06_2,Pc,Pc,3/11/2014 20:20,3/11/2014 21:19,Updated from AES original as UO
28,LL010_FR06_DLxx,LL010_FR06_3,X,NA_X,3/13/2014 0:31,3/13/2014 0:49,
29,LL010_FR06_DLxx,LL010_FR06_4,UO,NA_UO,3/13/2014 19:22,3/13/2014 20:07,
30,LL010_FR06_DLxx,LL010_FR06_5,X,NA_X,3/18/2014 13:11,3/18/2014 13:35,
31,LL010_FR06_DLxx,LL010_FR06_6,Kspp,NA_Kspp,3/18/2014 14:44,3/18/2014 14:47,
32,LL010_FR06_DLxx,LL010_FR06_7,UO,NA_UO,3/22/2014 18:11,3/22/2014 18:24,
33,LL010_FR06_DLxx,LL010_FR06_8,UO,NA_UO,3/22/2014 21:26,3/22/2014 21:48,
34,LL010_FR10_DLxx,LL010_FR10_1,X,X,3/11/2014 16:53,3/11/2014 18:09,Looks like a mixed species group of Pc and ??
