,trip,id,species,new_species,start,stop,notes
35,LL010_FR10_DLxx,LL010_FR10_2,Pm,Pm,3/13/2014 17:05,3/13/2014 18:17,
36,LL014_FR06_DL65,14_1,UO,UO,9/25/2014 3:21,9/25/2014 3:46,
37,LL014_FR06_DL65,14_2,Pc,Pc,9/25/2014 13:22,9/25/2014 14:18,
38,LL017_FR03_DL65,LL017FR3_1_1,Pc,Pc,1/17/2015 17:15,1/17/2015 17:31,Pc
39,LL017_FR03_DL65,LL017FR3_1_2,Pc,Pc,1/17/2015 17:52,1/17/2015 18:20,Pc
40,LL017_FR03_DL65,LL017FR3_2,X,Pc,1/17/2015 22:06,1/17/2015 22:13,whistles only
41,LL017_FR03_DL65,LL017FR3_3,X,Pc,1/17/2015 23:06,1/17/2015 23:11,whistles only
42,LL019_FR07_DL63,19_1,X,X,2/1/2015 15:52,2/1/2015 15:58,whistles only; doesn’t look like Pc
43,LL019_FR07_DL63,19_2,UO,NA_UO,2/1/2015 19:37,2/1/2015 20:05,whistles and clicks; doesn’t look like Pc
44,LL019_FR07_DL63,19_3,BAD,NA,2/2/2015 23:54,2/3/2015 0:44,Bad event time
45,LL019_FR07_DL63,19_4,Pc,Pc,2/3/2015 10:24,2/3/2015 10:46,ROCCA 91% Pc; Both analysts predic Pc whistles and clicks; Gm or Pc?
46,LL019_FR07_DL63,19_5,X,X,2/7/2015 4:29,2/7/2015 5:17,ROCCA 89% Pc; Both analysts predic Pcwhistles and clicks
47,LL019_FR07_DL63,19_6,UO,NA_UO,2/8/2015 19:26,2/8/2015 19:42,clicks only
48,LL019_FR07_DL63,19_7,Pm,NA_Pm,2/8/2015 21:35,2/8/2015 23:19,clicks only;
49,LL019_FR07_DL63,19_8,Pm,NA_Pm,2/9/2015 3:33,2/9/2015 4:55,clicks only
50,LL019_FR07_DL63,19_9,Pm,NA_Pm,2/11/2015 11:01,2/11/2015 12:41,clicks only
51,LL019_FR07_DL63,19_10,UO,NA_UO,2/11/2015 22:50,2/11/2015 23:11,clicks only
52,LL019_FR07_DL63,19_11,Pm,NA_Pm,2/12/2015 16:22,2/12/2015 18:23,clicks only; sperm whales
53,LL027_FR07_DL63,27_1,X,Pc,9/23/2015 11:25,9/23/2015 12:17,Looks like there are possible bands at 14 and 19 kHz
54,LL027_FR07_DL63,27_2,UO,UO,9/25/2015 10:39,9/25/2015 10:48,"faint, but with whistles and clicks"
55,LL027_FR07_DL63,27_3,Pm,NA_Pm,9/25/2015 20:14,9/25/2015 22:43,
56,LL035_FR04_DL64,35_01,UO,UO,5/31/2016 22:37,5/31/2016 22:57,NA
57,LL035_FR04_DL64,35_02,UO,UO,6/1/2016 1:00,6/1/2016 1:24,NA
58,LL035_FR04_DL64,35_03,UO,UO,6/2/2016 17:43,6/2/2016 18:18,NA
59,LL035_FR04_DL64,35_04,UO,UO,6/2/2016 22:33,6/2/2016 22:51,NA
60,LL035_FR04_DL64,35_05,Pm,Pm,6/5/2016 2:26,6/5/2016 4:44,NA
61,LL035_FR04_DL64,35_06,UO,UO,6/7/2016 6:01,6/7/2016 6:10,NA
62,LL037_FR04_DL64,37_1,UO,UO,10/3/2016 0:45,10/3/2016 1:22,NA
63,LL038_FR07_DL63,38_1,Pm,NA_Pm,3/9/2017 18:58,3/9/2017 20:47,NA
64,LL038_FR07_DL63,38_2,Nothing,NA,3/10/2017 17:35,3/10/2017 17:47,NA
65,LL038_FR07_DL63,38_3,Pm,MIN_Pm,3/11/2017 1:04,3/11/2017 3:40,NA
66,LL038_FR07_DL63,38_4,UO,NA_X,3/13/2017 18:04,3/13/2017 18:29,NA
67,LL039_FR04_DL64,39_01,Pm,Pm,3/13/2017 19:20,3/13/2017 19:55,
68,LL039_FR04_DL64,39_02,Pm,Pm,3/13/2017 20:17,3/13/2017 21:36,
69,LL039_FR04_DL64,39_03,UO,UO,3/13/2017 23:30,3/14/2017 0:14,
70,LL039_FR04_DL64,39_04,UO,UO,3/15/2017 20:55,3/15/2017 21:19,
71,LL039_FR04_DL64,39_05,UO,UO,3/15/2017 21:57,3/15/2017 22:00,
72,LL039_FR04_DL64,39_06,X,UO,3/15/2017 22:43,3/15/2017 23:35,possibly mixed?
73,LL039_FR04_DL64,39_07,UO,X,3/16/2017 8:46,3/16/2017 8:54,
74,LL039_FR04_DL64,39_08,UO,UO,3/16/2017 23:01,3/16/2017 23:21,
75,LL039_FR04_DL64,39_09,Pc,Pc,3/17/2017 0:31,3/17/2017 1:41,
76,LL039_FR04_DL64,39_10,Kspp,Kspp,3/18/2017 10:45,3/18/2017 10:49,
77,LL039_FR04_DL64,39_11,UO,UO,3/18/2017 22:53,3/18/2017 23:22,
78,LL039_FR04_DL64,39_12,UO,UO,3/19/2017 1:45,3/19/2017 1:57,
79,LL039_FR04_DL64,39_13,UO,UO,3/19/2017 15:09,3/19/2017 15:17,
80,LL039_FR04_DL64,39_14,UO,UO,3/20/2017 20:06,3/20/2017 20:32,
81,LL039_FR04_DL64,39_15,X,X,3/22/2017 3:12,3/22/2017 4:57,
82,LL041_FR04_DL64,41_1,X,X,5/12/2017 7:34,5/12/2017 8:05,
83,LL041_FR04_DL64,41_2,X,X,5/12/2017 18:01,5/12/2017 18:16,
84,LL041_FR04_DL64,41_3,Pc,Pc,5/12/2017 18:51,5/12/2017 21:06,
85,LL041_FR04_DL64,41_4,X,Pc,5/13/2017 2:05,5/13/2017 3:06,"Pc at beginning, but mixed species toward end? "
86,LL041_FR04_DL64,41_5,UO,UO,5/16/2017 6:22,5/16/2017 6:42,
87,LL041_FR04_DL64,41_6,UO,UO,5/16/2017 22:15,5/16/2017 22:33,
88,LL041_FR04_DL64,41_7,UO,UO,5/17/2017 0:16,5/17/2017 0:32,
89,LL041_FR04_DL64,41_8,UO,UO,5/17/2017 3:31,5/17/2017 3:37,
90,LL041_FR04_DL64,41_9,UO,UO,5/18/2017 1:47,5/18/2017 3:14,
91,LL041_FR04_DL64,41_10,UO,UO,5/18/2017 4:10,5/18/2017 4:26,wasn't added in first round of processing. Not sure why not
92,LL041_FR04_DL64,41_11,Pc,Pc,5/18/2017 6:16,5/18/2017 6:49,
93,LL041_FR04_DL64,41_12,UO,UO,5/18/2017 22:38,5/18/2017 23:21,
94,LL042_FR04_DL64,42_1,Kspp,Kspp,9/23/2017 17:07,9/23/2017 17:08,NA
95,LL042_FR04_DL64,42_2,UO,UO,9/24/2017 18:36,9/24/2017 19:15,NA
96,LL042_FR04_DL64,42_3,UO,UO,9/24/2017 22:54,9/24/2017 23:27,NA
97,LL042_FR04_DL64,42_4,Kspp,Kspp,9/29/2017 9:50,9/29/2017 9:52,NA
98,LL042_FR04_DL64,42_5,X,MIN_X,10/1/2017 0:47,10/1/2017 0:50,NA
99,LL042_FR04_DL64,42_6,UO,X,10/1/2017 20:18,10/1/2017 20:20,NA
100,LL042_FR04_DL64,42_7,X,MIN_NA,10/2/2017 2:10,10/2/2017 2:14,NA
101,LL043_FR04_DL64,43_1,X,Pc,11/27/2017 20:45,11/27/2017 21:11,NA
102,LL043_FR04_DL64,43_2,Pc,Pc,12/1/2017 1:15,12/1/2017 1:47,NA
103,LL043_FR04_DL64,43_3,Gg,Gg,12/1/2017 23:29,12/1/2017 23:55,NA
104,LL043_FR04_DL64,43_4,Kspp,Kspp,12/4/2017 9:59,12/4/2017 10:06,NA
105,LL043_FR04_DL64,43_5,UO,UO,12/4/2017 17:38,12/4/2017 17:48,NA
106,LL043_FR04_DL64,43_6,UO,UO,12/5/2017 2:57,12/5/2017 3:01,NA
107,LL044_FR04_DL64,44_1_1,Pc,Pc,1/29/2018 8:04,1/29/2018 9:03,
108,LL044_FR04_DL64,44_1_2,Pc,Pc,1/29/2018 9:35,1/29/2018 9:44,
109,LL044_FR04_DL64,44_1_3,Pc,Pc,1/29/2018 10:33,1/29/2018 10:52,
110,LL044_FR04_DL64,44_1_4,Pc,Pc,1/29/2018 11:33,1/29/2018 11:41,only a few whistles
111,LL044_FR04_DL64,44_2,Gg,Gg,2/1/2018 2:33,2/1/2018 2:44,
112,LL044_FR04_DL64,44_3,UO,UO,2/1/2018 6:54,2/1/2018 7:01,
113,LL044_FR04_DL64,44_4,Pm,Pm,2/1/2018 16:16,2/1/2018 17:29,
114,LL044_FR04_DL64,44_5,UO,UO,2/2/2018 0:33,2/2/2018 0:46,
115,LL044_FR04_DL64,44_6,UO,UO,2/2/2018 4:13,2/2/2018 4:24,
116,LL044_FR04_DL64,44_7,Pc,Pc,2/4/2018 15:22,2/4/2018 17:14,
117,LL044_FR04_DL64,44_8,Pc,Pc,2/4/2018 23:08,2/4/2018 23:18,
118,LL044_FR04_DL64,44_9,UO,X,2/4/2018 23:42,2/4/2018 23:46,
119,LL044_FR04_DL64,44_10,Pm,Pm,2/5/2018 9:48,2/5/2018 12:47,
120,LL044_FR04_DL64,44_11,Pm,Pm,2/6/2018 13:23,2/7/2018 1:25,
121,LL045_FR03_DL73,45_1,UO,NA_UO,2/15/2018 21:17,2/15/2018 21:33,NA
122,LL045_FR03_DL73,45_2,UO,NA_UO,2/15/2018 23:32,2/15/2018 23:59,NA
123,LL045_FR03_DL73,45_3,UO,NA_UO,2/16/2018 0:45,2/16/2018 1:10,NA
124,LL045_FR03_DL73,45_4,UO,NA_UO,2/17/2018 20:23,2/17/2018 20:58,NA
125,LL045_FR03_DL73,45_5,UO,NA_UO,2/18/2018 0:57,2/18/2018 1:32,NA
126,LL045_FR03_DL73,45_6,UO,UO,2/18/2018 21:36,2/18/2018 21:56,NA
127,LL045_FR03_DL73,45_7,UO,UO,2/19/2018 0:07,2/19/2018 1:12,NA
128,LL045_FR03_DL73,45_8,UO,NA_UO,2/19/2018 3:04,2/19/2018 4:29,NA
129,LL045_FR03_DL73,45_9,UO,NA_UO,2/19/2018 5:20,2/19/2018 5:25,NA
130,LL045_FR03_DL73,45_10,UO,UO,2/19/2018 5:44,2/19/2018 5:47,NA
131,LL045_FR03_DL73,45_11,Kspp,Kspp,2/20/2018 3:29,2/20/2018 3:35,NA
132,LL045_FR03_DL73,45_12,UO,NA_UO,2/20/2018 5:08,2/20/2018 5:51,NA
133,LL045_FR03_DL73,45_13,Kspp,Kspp,2/21/2018 14:32,2/21/2018 14:35,NA
134,LL045_FR03_DL73,45_14,UO,UO,2/21/2018 21:06,2/21/2018 21:10,NA
135,LL045_FR03_DL73,45_15,UO,Gg,2/22/2018 1:46,2/22/2018 1:58,NA
136,LL047_FR04_DL64,47_1,UO,UO,4/23/2018 20:52,4/23/2018 21:42,NA
137,LL047_FR04_DL64,47_2,UO,UO,4/24/2018 20:18,4/24/2018 21:13,NA
138,LL047_FR04_DL64,47_3,UO,UO,4/24/2018 21:26,4/24/2018 21:40,NA
139,LL047_FR04_DL64,47_4,UO,NA,4/26/2018 20:55,4/26/2018 21:19,NA
140,LL047_FR04_DL64,47_5,UO,NA,4/26/2018 23:05,4/26/2018 23:15,NA
141,LL047_FR04_DL64,47_6,UO,UO,4/27/2018 3:30,4/27/2018 3:45,NA
142,LL047_FR04_DL64,47_7,Pc,Pc,4/27/2018 14:57,4/27/2018 15:22,NA
143,LL047_FR04_DL64,47_9,UO,UO,4/28/2018 19:54,4/28/2018 20:22,NA
144,LL047_FR04_DL64,47_10,UO,UO,5/1/2018 18:43,5/1/2018 18:48,NA
145,LL047_FR04_DL64,47_11,UO,UO,5/1/2018 19:37,5/1/2018 19:39,NA
146,LL047_FR04_DL64,47_12,UO,UO,5/2/2018 3:21,5/2/2018 3:58,NA
147,LL047_FR04_DL64,47_13,Pc,Pc,5/2/2018 16:22,5/2/2018 17:34,NA
148,LL047_FR04_DL64,47_14,Pc,Pc,5/2/2018 21:39,5/2/2018 22:52,NA
149,LL050_FR05_DL59,50_1,UO,UO,8/14/2018 19:44,8/14/2018 19:50,NA
150,LL050_FR05_DL59,50_2,UO,UO,8/15/2018 19:37,8/15/2018 19:52,NA
151,LL050_FR05_DL59,50_3,UO,UO,8/18/2018 3:14,8/18/2018 3:41,NA
152,LL050_FR05_DL59,50_4,UO,UO,8/19/2018 20:22,8/19/2018 20:47,NA
153,LL051_FR08_DL88,51_1,UO,UO,12/5/2018 10:24,12/5/2018 10:28,NA
154,LL051_FR08_DL88,51_2,UO,UO,12/8/2018 4:11,12/8/2018 4:45,NA
155,LL051_FR08_DL88,51_3,Pm,Pm,12/8/2018 9:15,12/8/2018 11:08,NA
156,LL051_FR08_DL88,51_4,UO,UO,12/13/2018 3:23,12/13/2018 3:35,NA
157,LL051_FR08_DL88,51_5,UO,UO,12/13/2018 5:24,12/13/2018 6:14,NA
158,LL051_FR08_DL88,51_6,UO,UO,12/13/2018 7:06,12/13/2018 7:36,NA
159,LL051_FR08_DL88,51_7,UO,UO,12/13/2018 11:02,12/13/2018 11:22,NA
160,LL052_FR08_DL88,52_1,Pm,NA,2/13/2019 9:46,2/13/2019 9:49,NA
161,LL052_FR08_DL88,52_2,HF UO,UO,2/13/2019 22:37,2/13/2019 22:52,NA
162,LL052_FR08_DL88,52_3,HF UO,UO,2/13/2019 23:24,2/13/2019 23:47,NA
163,LL052_FR08_DL88,52_4,HF UO,UO,2/14/2019 19:03,2/14/2019 19:26,NA
164,LL052_FR08_DL88,52_5,Kspp,Kspp,2/14/2019 19:30,2/14/2019 19:34,NA
165,LL052_FR08_DL88,52_6,HF UO,UO,2/14/2019 20:41,2/14/2019 20:50,NA
166,LL052_FR08_DL88,52_7,HF UO,UO,2/14/2019 21:15,2/14/2019 22:14,NA
167,LL052_FR08_DL88,52_8,Pm,NA,2/16/2019 12:22,2/16/2019 12:24,NA
168,LL052_FR08_DL88,52_9,UO,UO,2/16/2019 18:44,2/16/2019 19:09,NA
169,LL052_FR08_DL88,52_10,Gg,Gg,2/18/2019 19:49,2/18/2019 20:23,NA
170,LL053_FR07_DL59,53_1,Pc,Pc,4/28/2019 3:38,4/28/2019 6:07,NA
171,LL053_FR07_DL59,53_2,UO,NA,4/28/2019 12:58,4/28/2019 13:08,NA
172,LL053_FR07_DL59,53_3,UO,NA,4/28/2019 14:29,4/28/2019 14:31,NA
173,LL053_FR07_DL59,53_4,UO,UO,4/29/2019 7:24,4/29/2019 8:05,NA
174,LL053_FR07_DL59,53_5,UO,UO,5/1/2019 3:52,5/1/2019 3:57,NA
175,LL053_FR07_DL59,53_6,UO,UO,5/1/2019 12:50,5/1/2019 13:22,NA
176,LL053_FR07_DL59,53_7,UO,X,5/2/2019 15:53,5/2/2019 15:58,NA
177,LL053_FR07_DL59,53_8,UO,UO,5/3/2019 3:44,5/3/2019 3:57,NA
178,LL053_FR07_DL59,53_9,UO,UO,5/3/2019 12:36,5/3/2019 13:48,NA
179,LL053_FR07_DL59,53_10,UO,NA,5/3/2019 15:38,5/3/2019 15:40,NA
180,LL053_FR07_DL59,53_11,UO,UO,5/5/2019 14:21,5/5/2019 14:59,NA
181,LL054_FR08_DL88,54_1,UO,UO,5/21/2019 7:00,5/21/2019 7:45,NA
182,LL054_FR08_DL88,54_2,UO,UO,5/21/2019 13:16,5/21/2019 13:52,NA
183,LL054_FR08_DL88,54_3,UO,UO,5/23/2019 12:04,5/23/2019 12:42,NA
184,LL054_FR08_DL88,54_4,UO,UO,5/26/2019 17:32,5/26/2019 17:43,NA
185,LL054_FR08_DL88,54_5,Gg,UO,5/27/2019 7:55,5/27/2019 8:29,NA
186,LL055_FR08_DL88,55_1,Kspp,MIN_Kspp,7/3/2019 13:06,7/3/2019 13:11,NA
187,LL055_FR08_DL88,55_2,UO,UO,7/4/2019 15:24,7/4/2019 15:56,NA
188,LL055_FR08_DL88,55_3,UO,UO,7/5/2019 11:06,7/5/2019 12:18,NA
189,LL055_FR08_DL88,55_4,Kspp,NA,7/5/2019 17:01,7/5/2019 17:06,NA
190,LL055_FR08_DL88,55_5,UO,UO,7/6/2019 12:43,7/6/2019 13:52,NA
191,LL055_FR08_DL88,55_6,UO,UO,7/7/2019 7:18,7/7/2019 7:50,NA
192,LL056_FR08_DL88,56_1,UO,UO,8/3/2019 19:24,8/3/2019 19:27,NA
193,LL056_FR08_DL88,56_2,UO,UO,8/5/2019 13:48,8/5/2019 14:30,NA
194,LL056_FR08_DL88,56_3,Kspp,NA,8/7/2019 1:13,8/7/2019 1:17,NA
195,LL056_FR08_DL88,56_4,UO,UO,8/12/2019 3:10,8/12/2019 3:15,NA
196,LL056_FR08_DL88,56_5,Pc,Pc,8/16/2019 5:40,8/16/2019 9:12,NA
197,LL056_FR08_DL88,56_6,Pc,Pc,8/16/2019 12:34,8/16/2019 13:46,NA
198,LL057_FRxx_DL59,57_1,UO,UO,9/17/2019 16:05,9/17/2019 16:16,NA
199,LL057_FRxx_DL59,57_2,UO,X,9/19/2019 9:36,9/19/2019 10:00,NA
200,LL057_FRxx_DL59,57_3,UO,X,9/19/2019 13:53,9/19/2019 15:30,NA
201,LL057_FRxx_DL59,57_4,UO,NA,9/19/2019 16:08,9/19/2019 16:14,NA
202,LL057_FRxx_DL59,57_5,UO,UO,9/19/2019 16:45,9/19/2019 16:57,NA
203,LL057_FRxx_DL59,57_6,UO,UO,9/20/2019 12:03,9/20/2019 12:18,NA
204,LL057_FRxx_DL59,57_7,UO,UO,9/21/2019 10:30,9/21/2019 11:11,NA
205,LL057_FRxx_DL59,57_8,UO,UO,9/21/2019 13:19,9/21/2019 13:31,NA
206,LL057_FRxx_DL59,57_9,UO,UO,9/23/2019 6:38,9/23/2019 6:57,NA
207,LL057_FRxx_DL59,57_10,UO,UO,9/28/2019 0:44,9/28/2019 1:09,NA
208,LL057_FRxx_DL59,57_11,UO,UO,9/28/2019 1:06,9/28/2019 1:09,NA
209,LL058_FR06_DL64,58_1,X,Pc,11/23/2019 21:56,11/23/2019 22:26,"likely Pc, but look slike it could be mixed toward the end"
210,LL058_FR06_DL64,58_2,UO,UO,11/23/2019 22:29,11/23/2019 22:56,
211,LL058_FR06_DL64,58_3,UO,UO,11/24/2019 6:26,11/24/2019 7:27,
212,LL058_FR06_DL64,58_4,UO,UO,11/26/2019 6:44,11/26/2019 6:54,
213,LL058_FR06_DL64,58_5,UO,UO,11/26/2019 12:26,11/26/2019 13:06,
214,LL058_FR06_DL64,58_6,UO,UO,11/26/2019 20:47,11/26/2019 21:07,
215,LL058_FR06_DL64,58_7,UO,UO,11/27/2019 12:13,11/27/2019 12:41,
216,LL058_FR06_DL64,58_8,UO,UO,11/28/2019 8:10,11/28/2019 8:37,
217,LL058_FR06_DL64,58_9,UO,UO,12/1/2019 8:23,12/1/2019 8:27,
218,LL058_FR06_DL64,58_10,UO,UO,12/3/2019 13:21,12/3/2019 13:59,
219,LL059_FR38_DL65,59_1,UO,X,10/16/2020 9:21,10/16/2020 9:59,NA
220,LL059_FR38_DL65,59_2,UO,NA_UO,10/18/2020 3:38,10/18/2020 5:03,NA
221,LL059_FR38_DL65,59_3,UO,X,10/19/2020 1:39,10/19/2020 1:41,NA
222,LL059_FR38_DL65,59_4,UBW,BW,10/20/2020 7:19,10/20/2020 7:21,NA
223,LL059_FR38_DL65,59_5,UO,UO,10/21/2020 4:23,10/21/2020 5:02,NA
224,LL059_FR38_DL65,59_6,UO,NA,10/21/2020 6:26,10/21/2020 6:27,NA
225,LL059_FR38_DL65,59_7,UO,UO,10/21/2020 7:55,10/21/2020 8:30,NA
226,LL059_FR38_DL65,59_8,UO,Pc,10/23/2020 8:23,10/23/2020 9:14,NA
227,LL060_FR38_DL65,LL060_FR38_DL65_01,UO,UO,6/2/2021 23:04,6/2/2021 23:15,
228,LL060_FR38_DL65,LL060_FR38_DL65_02,UO,UO,6/3/2021 0:08,6/3/2021 0:12,
229,LL060_FR38_DL65,LL060_FR38_DL65_03,UO,UO,6/4/2021 4:42,6/4/2021 5:10,
230,LL060_FR38_DL65,LL060_FR38_DL65_04,UO,UO,6/4/2021 5:50,6/4/2021 6:24,
231,LL060_FR38_DL65,LL060_FR38_DL65_05,UO,UO,6/4/2021 7:00,6/4/2021 7:59,
232,LL060_FR38_DL65,LL060_FR38_DL65_06,UO,UO,6/5/2021 4:06,6/5/2021 4:37,
233,LL060_FR38_DL65,LL060_FR38_DL65_07,UO,UO,6/5/2021 7:23,6/5/2021 8:17,
234,LL060_FR38_DL65,LL060_FR38_DL65_08,UO,UO,6/5/2021 10:21,6/5/2021 10:32,
235,LL060_FR38_DL65,LL060_FR38_DL65_09,UO,UO,6/5/2021 12:35,6/5/2021 13:08,
236,LL060_FR38_DL65,LL060_FR38_DL65_10,UO,UO,6/5/2021 14:03,6/5/2021 14:17,
237,LL060_FR38_DL65,LL060_FR38_DL65_11,UO,BW,6/7/2021 6:31,6/7/2021 6:48,"BW, likely Md"
238,LL060_FR38_DL65,LL060_FR38_DL65_12,UO,UO,6/7/2021 9:27,6/7/2021 10:25,also sperm whales mixed in
239,LL060_FR38_DL65,LL060_FR38_DL65_13,UO,UO,6/8/2021 9:27,6/8/2021 9:42,
240,LL060_FR38_DL65,LL060_FR38_DL65_14,UO,BW,6/8/2021 11:47,6/8/2021 12:04,BW
241,LL060_FR45_DL84,LL060_FR45_DL84_1,UO,UO,6/3/2021 4:04,6/3/2021 4:56,sperm whales also mixed in
242,LL060_FR45_DL84,LL060_FR45_DL84_2,UO,UO,6/3/2021 5:16,6/3/2021 6:05,
243,LL060_FR45_DL84,LL060_FR45_DL84_3,UO,UO,6/3/2021 9:19,6/3/2021 9:56,
244,LL060_FR45_DL84,LL060_FR45_DL84_4,UO,UO,6/3/2021 22:26,6/3/2021 22:50,
245,LL060_FR45_DL84,LL060_FR45_DL84_5,UO,UO,6/4/2021 7:16,6/4/2021 7:57,
246,LL060_FR45_DL84,LL060_FR45_DL84_6,UO,BW,6/5/2021 9:16,6/5/2021 9:27,
247,LL060_FR45_DL84,LL060_FR45_DL84_7,UO,UO,6/6/2021 21:18,6/6/2021 21:20,
248,LL060_FR45_DL84,LL060_FR45_DL84_8,UO,BW,6/7/2021 2:47,6/7/2021 2:49,BW
249,LL060_FR45_DL84,LL060_FR45_DL84_9,UO,Gg,6/7/2021 21:16,6/7/2021 21:31,banding in clicks
250,LL060_FR52_DL59,LL060_FR52_DL59_1,UO,UO,6/4/2021 7:09,6/4/2021 7:36,
251,LL060_FR52_DL59,LL060_FR52_DL59_2,UO,UO,6/7/2021 6:45,6/7/2021 7:08,
252,LL060_FR52_DL59,LL060_FR52_DL59_3,UO,Gg,6/8/2021 6:41,6/8/2021 7:01,banding in clicks
253,LL060_FR64_DL88,LL060_FR64_DL88_1,UO,UO,6/3/2021 4:39,6/3/2021 4:56,
254,LL060_FR64_DL88,LL060_FR64_DL88_2,UO,UO,6/4/2021 5:14,6/4/2021 5:44,
255,LL060_FR64_DL88,LL060_FR64_DL88_3,UO,NA,6/7/2021 5:55,6/7/2021 5:56,
256,LL060_FR64_DL88,LL060_FR64_DL88_4,UO,X,6/8/2021 5:29,6/8/2021 5:36,
257,LL060_FR64_DL88,LL060_FR64_DL88_5,UO,X,6/8/2021 6:06,6/8/2021 6:12,
258,LL061_FR38_DL65,LL061_FR38_DL65_1,UO,UO,8/25/2021 4:37,8/25/2021 4:47,
259,LL061_FR38_DL65,LL061_FR38_DL65_2,UO,UO,8/25/2021 5:14,8/25/2021 5:50,
260,LL061_FR38_DL65,LL061_FR38_DL65_3,UO,UO,8/25/2021 6:07,8/25/2021 6:21,
261,LL061_FR38_DL65,LL061_FR38_DL65_4,UO,UO,8/25/2021 7:58,8/25/2021 8:26,
262,LL061_FR38_DL65,LL061_FR38_DL65_5,UO,X,8/25/2021 10:38,8/25/2021 10:39,
263,LL061_FR38_DL65,LL061_FR38_DL65_6,UO,UO,8/25/2021 11:54,8/25/2021 12:28,
264,LL061_FR38_DL65,LL061_FR38_DL65_7,UO,UO,8/25/2021 12:46,8/25/2021 13:35,
