"","trip","id","species","start","stop","notes"
"1","LL003_FR07_DL63","LL003FR07_1","X",2013-04-05 19:30:00,2013-04-05 19:35:00,""
"2","LL003_FR07_DL63","LL003FR07_2","X",2013-04-06 17:52:00,2013-04-06 18:03:00,""
"3","LL003_FR07_DL63","LL003FR07_3","UO",2013-04-06 19:23:00,2013-04-06 19:34:00,""
"4","LL003_FR07_DL63","LL003FR07_4","UO",2013-04-07 20:22:00,2013-04-07 20:37:00,""
"5","LL003_FR07_DL63","LL003FR07_5","UO",2013-04-07 21:03:00,2013-04-07 21:22:00,""
"6","LL003_FR07_DL63","LL003FR07_6","UO",2013-04-08 16:19:00,2013-04-08 16:40:00,""
"7","LL003_FR07_DL63","LL003FR07_7","UO",2013-04-08 19:16:00,2013-04-08 19:46:00,""
"8","LL003_FR07_DL63","LL003FR07_8","UO",2013-04-11 21:01:00,2013-04-11 21:23:00,""
"9","LL003_FR07_DL63","LL003FR07_9","UO",2013-04-12 17:16:00,2013-04-12 17:18:00,""
"10","LL003_FR07_DL63","LL003FR07_10","UO",2013-04-12 19:28:00,2013-04-12 19:43:00,""
"11","LL003_FR07_DL63","LL003FR07_11","UO",2013-04-12 20:48:00,2013-04-12 21:19:00,""
"12","LL003_FR07_DL63","LL003FR07_12","UO",2013-04-13 18:49:00,2013-04-13 19:03:00,""
"13","LL003_FR07_DL63","LL003FR07_13","X",2013-04-14 15:30:00,2013-04-14 15:52:00,"ROCCA predicted Pc; too few detections overall to decide"
"14","LL003_FR07_DL63","LL003FR07_14","UO",2013-04-14 19:43:00,2013-04-14 20:30:00,""
"15","LL003_FR10_DL60","LL003FR10_1","X",2013-04-15 16:47:00,2013-04-15 16:50:00,"faint whistles"
"16","LL003_FR10_DL60","LL003FR10_2","UO",2013-04-15 20:10:00,2013-04-15 20:28:00,""
"17","LL003_FR10_DL60","LL003FR10_3","X",2013-04-16 18:23:00,2013-04-16 18:49:00,"faint whistles"
"18","LL003_FR10_DL60","LL003FR10_4","UO",2013-04-16 19:25:00,2013-04-16 19:43:00,""
"19","LL003_FR10_DL60","LL003FR10_5","Pc",2013-04-17 14:45:00,2013-04-17 15:46:00,""
"20","LL003_FR10_DL60","LL003FR10_6","UO",2013-04-17 23:15:00,2013-04-17 23:32:00,""
"21","LL004_FR10_DL60","LL004_FR10_1","Pc",2013-05-01 13:55:00,2013-05-01 14:47:00,""
"22","LL004_FR10_DL60","LL004_FR10_2","Pm",2013-05-04 17:38:00,2013-05-04 17:45:00,""
"23","LL004_FR10_DL60","LL004_FR10_3","X",2013-05-14 13:31:00,2013-05-14 14:02:00,""
"24","LL010_FR04_DLxx","LL010_FR04_1","Pc",2014-03-11 13:42:00,2014-03-11 14:05:00,"ROCCA predicted Pc 51%"
"25","LL010_FR04_DLxx","LL010_FR04_2","Pc",2014-03-11 22:40:00,2014-03-11 23:16:00,"ROCCA predicted Pc 88%"
"26","LL010_FR06_DLxx","LL010_FR06_1","Pc",2014-03-11 14:48:00,2014-03-11 15:17:00,"Updated from AES original as UO"
