"","event.id","predicted","Pc","UO","original","correct"
"130","23_9","UO",0.2137,0.7863,"Pm",FALSE
"131","25_1","UO",0.099,0.901,"UO",TRUE
"132","25_2","UO",0.0637,0.9363,"UO",TRUE
"133","26_1","UO",0.1656,0.8344,"X",FALSE
"134","26_2_1","UO",0.0255,0.9745,"UO",TRUE
"135","26_2_2","UO",0.0713,0.9287,"Pm",FALSE
"136","27_1","Pc",0.5877,0.4123,"UO",FALSE
"137","27_2","UO",0.1521,0.8479,"UO",TRUE
"138","27_3","UO",0.1813,0.8187,"Pm",FALSE
"139","31_1","UO",0.3552,0.6448,"Pm",FALSE
"140","31_2","UO",0.3961,0.6039,"UO",TRUE
"141","31_3","UO",0.1034,0.8966,"UO",TRUE
"142","31_4","UO",0.0998,0.9002,"UO",TRUE
"143","31_5","UO",0.0902,0.9098,"UO",TRUE
"144","31_6","UO",0.1838,0.8162,"UO",TRUE
"145","31_7","UO",0.0789,0.9211,"UO",TRUE
"146","31_8","UO",0.259,0.741,"UO",TRUE
"147","31_9","UO",0.3312,0.6688,"UO",TRUE
"148","35_01","UO",0.143,0.857,"UO",TRUE
"149","35_02","UO",0.1187,0.8813,"UO",TRUE
"150","35_03","UO",0.1544,0.8456,"UO",TRUE
"151","35_04","UO",0.2949,0.7051,"UO",TRUE
"152","35_05","UO",0.4001,0.5999,"Pm",FALSE
"153","35_06","UO",0.1264,0.8736,"UO",TRUE
"154","36_1","UO",0.1242,0.8758,"UO",TRUE
"155","36_2","UO",0.0844,0.9156,"UO",TRUE
"156","36_3","UO",0.0164,0.9836,"UO",TRUE
"157","36_4","UO",0.1751,0.8249,"Pm",FALSE
"158","36_5","UO",0.0277,0.9723,"UO",TRUE
"159","36_6","UO",0.1065,0.8935,"UO",TRUE
"160","37_1","UO",0.2817,0.7183,"UO",TRUE
"161","38_1","UO",0.2558,0.7442,"Pm",FALSE
"162","38_2","UO",0.3084,0.6916,"UO",TRUE
"163","38_3","UO",0.2282,0.7718,"Pm",FALSE
"164","38_4","UO",0.4784,0.5216,"UO",TRUE
"165","39_01","UO",0.3429,0.6571,"Pm",FALSE
"166","39_02","UO",0.3727,0.6273,"Pm",FALSE
"167","39_03","UO",0.3129,0.6871,"UO",TRUE
"168","39_04","UO",0.238,0.762,"UO",TRUE
"169","39_05","UO",0.2036,0.7964,"UO",TRUE
"170","39_06","UO",0.5579,0.4421,"X",FALSE
"171","39_07","UO",0.2825,0.7175,"UO",TRUE
"172","39_08","UO",0.2861,0.7139,"UO",TRUE
"173","39_09","Pc",0.9913,0.0087,"Pc",TRUE
"174","39_11","UO",0.4098,0.5902,"UO",TRUE
"175","39_12","UO",0.5358,0.4642,"UO",TRUE
